order_id,due date,start_time,finish_time,through_put_time,lateness,priority,variant0,quantity0,variant1,quantity1,variant2,quantity2,planned_week,finished_week,planned_day,finished_day
58,139827,108997.4,113517.1,4519.700000000012,-26309.899999999994,1,FUSE0,9,FUSE1,9,FUSE2,8,1,1,5,4
59,411797,391634.4353,400260.2083,8625.772999999986,-11536.791700000002,5,FUSE0,9,FUSE1,9,FUSE2,9,3,3,15,14
60,151095,114658.6,119050.1,4391.5,-32044.899999999994,1,FUSE0,8,FUSE1,8,FUSE2,9,1,1,5,5
61,285322,233948.2,239643.0083,5694.808299999975,-45678.99170000001,1,FUSE0,8,FUSE1,8,FUSE2,8,2,2,9,9
62,278014,223299.0,228909.4083,5610.40830000001,-49104.59169999999,1,FUSE0,8,FUSE1,8,FUSE2,8,2,2,9,8
63,207706,171169.2353,177914.0065,6744.771199999988,-29791.99350000001,1,FUSE0,9,FUSE1,8,FUSE2,9,2,2,7,7
64,355931,324265.4,331861.8083,7596.408299999952,-24069.191700000025,1,FUSE0,8,FUSE1,8,FUSE2,9,3,3,12,12
65,37224,26783.4,31256.3,4472.899999999998,-5967.700000000001,1,FUSE0,8,FUSE1,9,FUSE2,9,1,1,2,2
66,193210,157173.2,162711.9,5538.6999999999825,-30498.100000000006,1,FUSE0,6,FUSE1,6,FUSE2,6,2,2,6,6
67,165486,136275.3396,143200.7,6925.360400000005,-22285.29999999999,5,FUSE0,10,FUSE1,9,FUSE2,10,2,1,6,5
68,560537,534191.9083,542803.8083,8611.900000000023,-17733.191699999967,1,FUSE0,9,FUSE1,9,FUSE2,8,4,4,20,19
69,46659,31202.8,35539.3,4336.500000000004,-11119.699999999997,5,FUSE0,8,FUSE1,8,FUSE2,8,1,1,2,2
70,111820,84666.8,89260.3,4593.5,-22559.699999999997,2,FUSE0,8,FUSE1,8,FUSE2,9,1,1,4,4
71,510599,480153.2353,488619.8083,8466.572999999975,-21979.191700000025,1,FUSE0,8,FUSE1,7,FUSE2,8,4,4,18,17
72,137953,107649.6,111920.1,4270.5,-26032.899999999994,1,FUSE0,7,FUSE1,7,FUSE2,8,1,1,5,4
73,237466,192581.6353,198253.0083,5671.372999999992,-39212.99170000001,2,FUSE0,8,FUSE1,8,FUSE2,9,2,2,8,7
74,309343,268548.4353,274884.6083,6336.17300000001,-34458.39169999998,5,FUSE0,9,FUSE1,9,FUSE2,9,2,2,10,10
75,353087,318894.4,326193.0083,7298.6082999999635,-26893.991700000013,2,FUSE0,8,FUSE1,8,FUSE2,8,3,3,12,12
76,405564,383914.3037,392119.0083,8204.704599999997,-13444.991700000013,3,FUSE0,9,FUSE1,9,FUSE2,9,3,3,14,14
77,259740,211281.0,216764.6083,5483.608299999993,-42975.39170000001,3,FUSE0,7,FUSE1,8,FUSE2,8,2,2,8,8
78,263327,214275.2,220007.8083,5732.608299999993,-43319.191699999996,2,FUSE0,8,FUSE1,7,FUSE2,8,2,2,8,8
79,265418,215684.6,221240.6083,5556.008299999987,-44177.39170000001,1,FUSE0,8,FUSE1,8,FUSE2,7,2,2,8,8
80,279344,224736.2,230378.2083,5642.008299999987,-48965.7917,1,FUSE0,7,FUSE1,7,FUSE2,8,2,2,9,8
81,520460,492404.7037,500797.0083,8392.304599999974,-19662.991700000013,5,FUSE0,9,FUSE1,9,FUSE2,10,4,4,18,18
82,446029,427363.1083,435718.6083,8355.5,-10310.391699999978,1,FUSE0,10,FUSE1,9,FUSE2,10,4,4,16,16
83,119571,90422.4,94859.5,4437.100000000006,-24711.5,1,FUSE0,8,FUSE1,8,FUSE2,9,1,1,4,4
84,239001,194018.0353,199783.8083,5765.773000000016,-39217.191699999996,1,FUSE0,8,FUSE1,9,FUSE2,9,2,2,8,7
85,315278,276102.0,282531.4083,6429.40830000001,-32746.59169999999,1,FUSE0,9,FUSE1,9,FUSE2,10,3,2,11,10
86,307910,265131.4,271641.4083,6510.008299999987,-36268.59169999999,1,FUSE0,10,FUSE1,10,FUSE2,10,2,2,10,10
87,304170,258978.0353,265336.6083,6358.573000000033,-38833.39169999998,1,FUSE0,9,FUSE1,9,FUSE2,10,2,2,10,10
88,480885,449237.5083,457687.4083,8449.900000000023,-23197.59169999999,1,FUSE0,6,FUSE1,6,FUSE2,7,4,4,17,16
89,90631,64417.6,69160.3,4742.700000000004,-21470.699999999997,1,FUSE0,10,FUSE1,10,FUSE2,11,1,1,3,3
90,511234,481514.7083,489812.6083,8297.900000000023,-21421.39169999998,1,FUSE0,9,FUSE1,9,FUSE2,8,4,4,18,18
91,305144,260681.6,266805.4083,6123.808300000004,-38338.59169999999,1,FUSE0,8,FUSE1,8,FUSE2,8,2,2,10,10
92,317670,279283.2,287305.4083,8022.208299999998,-30364.59169999999,1,FUSE0,7,FUSE1,7,FUSE2,6,3,2,11,10
93,401358,379507.9037,387894.2083,8386.304599999974,-13463.791700000002,1,FUSE0,9,FUSE1,9,FUSE2,9,3,3,14,14
94,210184,174329.4,182810.2083,8480.808300000004,-27373.7917,1,FUSE0,6,FUSE1,6,FUSE2,6,2,2,7,7
95,351039,315970.7083,323193.4083,7222.700000000012,-27845.59169999999,2,FUSE0,7,FUSE1,7,FUSE2,8,3,3,12,12
96,116488,87597.0,91616.3,4019.300000000003,-24871.699999999997,1,FUSE0,7,FUSE1,7,FUSE2,6,1,1,4,4
97,434203,410471.1037,418526.4083,8055.304600000032,-15676.59169999999,1,FUSE0,8,FUSE1,8,FUSE2,9,3,3,15,15
98,173628,147132.9396,152466.9,5333.960399999982,-21161.100000000006,3,FUSE0,8,FUSE1,7,FUSE2,8,2,2,6,6
99,330248,290681.4,297526.6083,6845.208299999998,-32721.39169999998,1,FUSE0,9,FUSE1,9,FUSE2,8,3,3,11,11
100,151780,116115.6,120486.5,4370.899999999994,-31293.5,1,FUSE0,9,FUSE1,9,FUSE2,8,1,1,5,5
101,341714,305899.6353,313066.6083,7166.972999999998,-28647.39169999998,3,FUSE0,8,FUSE1,8,FUSE2,9,3,3,12,11
102,288251,236805.5083,242948.2083,6142.700000000012,-45302.7917,1,FUSE0,9,FUSE1,9,FUSE2,10,2,2,9,9
103,70924,49822.4,53956.9,4134.5,-16967.1,1,FUSE0,7,FUSE1,7,FUSE2,7,1,1,3,2
