order_id,due date,start_time,finish_time,through_put_time,lateness,fitness,priority,variant0,quantity0,variant1,quantity1,variant2,quantity2,planned_week,finished_week,planned_day,finished_day
123,189637,155200.8,157665.1,2464.3000000000175,-31971.899999999994,-0.008881083333333331,1,FUSE0,8,FUSE1,8,FUSE2,7,2,2,6,1
124,142957,152558.0,155003.5,2445.5,12046.5,182.1236212251265,1,FUSE0,8,FUSE1,8,FUSE2,7,1,2,5,1
125,39897,28375.8,30880.9,2505.100000000002,-9016.099999999999,-0.01301361940510146,3,FUSE0,9,FUSE1,9,FUSE2,8,1,1,2,2
126,564718,513574.0,515956.7,2382.7000000000116,-48761.29999999999,-0.038310495432746214,2,FUSE0,8,FUSE1,8,FUSE2,8,4,4,20,3
127,29963,19368.0,21943.9,2575.9000000000015,-8019.0999999999985,-0.0022275277777777775,1,FUSE0,9,FUSE1,9,FUSE2,10,1,1,1,1
128,335077,273045.6,275686.7,2641.100000000035,-59390.29999999999,-0.016497305555555553,1,FUSE0,9,FUSE1,9,FUSE2,8,3,2,12,5
129,108841,89763.2,92453.9,2690.699999999997,-16387.100000000006,-0.004551972222222224,1,FUSE0,9,FUSE1,9,FUSE2,10,1,1,4,4
130,419839,352232.8,355013.9,2781.100000000035,-64825.09999999998,-0.0509314086678845,2,FUSE0,10,FUSE1,10,FUSE2,11,3,3,14,3
131,454914,396200.0,398964.7,2764.7000000000116,-55949.29999999999,-0.015541472222222219,1,FUSE0,9,FUSE1,9,FUSE2,9,4,3,16,4
132,491405,458150.0,460795.1,2645.0999999999767,-30609.900000000023,-0.008502750000000007,1,FUSE0,8,FUSE1,8,FUSE2,9,4,4,17,1
133,249654,210436.8,213161.5,2724.7000000000116,-36492.5,-0.010136805555555557,1,FUSE0,8,FUSE1,8,FUSE2,9,2,2,9,3
134,99384,45564.0,47979.3,2415.300000000003,-51404.7,-0.1596450049485881,5,FUSE0,8,FUSE1,8,FUSE2,7,1,1,4,2
135,432694,362161.2,364778.7,2617.5,-67915.29999999999,-0.09802729184273545,3,FUSE0,9,FUSE1,9,FUSE2,8,3,3,15,3
136,436959,366490.0,368909.1,2419.0999999999767,-68049.90000000002,-0.01890275000000001,1,FUSE0,8,FUSE1,8,FUSE2,8,3,3,15,3
137,292315,240298.8,242896.3,2597.5,-49418.70000000001,-0.01372741666666667,1,FUSE0,8,FUSE1,8,FUSE2,9,2,2,10,4
138,110750,91488.4,93944.9,2456.5,-16805.100000000006,-0.004668083333333336,1,FUSE0,8,FUSE1,8,FUSE2,9,1,1,4,4
139,29834,25376.2,27913.7,2537.5,-1920.2999999999993,-0.0005334166666666664,1,FUSE0,9,FUSE1,9,FUSE2,10,1,1,1,1
140,216150,144363.2,146742.3,2379.0999999999767,-69407.70000000001,-0.019279916666666667,1,FUSE0,7,FUSE1,7,FUSE2,8,2,2,7,1
141,446376,397812.4,400153.3,2340.899999999965,-46222.70000000001,-0.012839638888888892,1,FUSE0,8,FUSE1,8,FUSE2,8,4,3,16,4
142,123587,108471.8,110932.5,2460.699999999997,-12654.5,-0.0035151388888888893,1,FUSE0,9,FUSE1,9,FUSE2,9,1,1,4,4
143,73787,55676.2,58405.1,2728.9000000000015,-15381.900000000001,-0.0042727500000000005,1,FUSE0,9,FUSE1,9,FUSE2,10,1,1,3,3
144,162911,131110.6,133682.9,2572.2999999999884,-29228.100000000006,-0.022963764123553932,2,FUSE0,7,FUSE1,7,FUSE2,9,2,1,6,5
145,399892,331491.4,333875.9,2384.5,-66016.09999999998,-0.018337805555555548,1,FUSE0,7,FUSE1,7,FUSE2,7,3,3,14,2
146,361977,349171.2,352201.5,3030.2999999999884,-9775.5,-0.0027154166666666668,1,FUSE0,9,FUSE1,10,FUSE2,10,3,3,12,3
147,356412,330175.2,332437.1,2261.899999999965,-23974.900000000023,-0.006659694444444452,1,FUSE0,8,FUSE1,8,FUSE2,8,3,3,12,2
148,560010,508306.8,510677.9,2371.100000000035,-49332.09999999998,-0.013703361111111105,1,FUSE0,7,FUSE1,7,FUSE2,7,4,4,20,3
149,347867,262188.0,264715.9,2527.9000000000233,-83151.09999999998,-0.12001827492103369,3,FUSE0,9,FUSE1,9,FUSE2,10,3,2,12,5
150,268691,259283.6,261959.9,2676.2999999999884,-6731.100000000006,-0.005288451616494194,2,FUSE0,8,FUSE1,8,FUSE2,9,2,2,10,5
151,403722,344620.4,347216.3,2595.899999999965,-56505.70000000001,-0.04439507071743635,2,FUSE0,8,FUSE1,8,FUSE2,9,3,3,14,3
152,535844,455182.8,457591.9,2409.100000000035,-78252.09999999998,-0.11294717749913376,3,FUSE0,8,FUSE1,8,FUSE2,7,4,4,19,1
153,85496,65793.0,68273.3,2480.300000000003,-17222.699999999997,-0.024858826202930413,3,FUSE0,9,FUSE1,9,FUSE2,8,1,1,3,3
154,403183,343121.6,345747.5,2625.9000000000233,-57435.5,-0.04512559058982217,2,FUSE0,8,FUSE1,8,FUSE2,9,3,3,14,3
155,406408,364810.0,367440.3,2630.2999999999884,-38967.70000000001,-0.010824361111111114,1,FUSE0,9,FUSE1,9,FUSE2,10,3,3,14,3
156,551514,491361.6,493788.7,2427.100000000035,-57725.29999999999,-0.016034805555555556,1,FUSE0,8,FUSE1,7,FUSE2,8,4,4,20,3
157,469722,408096.8,410546.3,2449.5,-59175.70000000001,-0.046492820834956435,2,FUSE0,8,FUSE1,9,FUSE2,9,4,3,16,5
158,57305,42902.4,45319.1,2416.699999999997,-11985.900000000001,-0.003329416666666667,1,FUSE0,8,FUSE1,8,FUSE2,7,1,1,2,2
159,31010,26963.4,29326.1,2362.699999999997,-1683.9000000000015,-0.0004677500000000004,1,FUSE0,8,FUSE1,7,FUSE2,8,1,1,1,2
160,80829,61403.6,63790.3,2386.7000000000044,-17038.699999999997,-0.004732972222222222,1,FUSE0,8,FUSE1,7,FUSE2,8,1,1,3,3
161,342690,268106.6,270682.7,2576.100000000035,-72007.29999999999,-0.10393358509654532,3,FUSE0,8,FUSE1,9,FUSE2,9,3,2,12,5
162,492683,431126.0,433779.1,2653.0999999999767,-58903.90000000002,-0.016362194444444454,1,FUSE0,9,FUSE1,9,FUSE2,10,4,4,17,1
163,292184,236122.0,238303.9,2181.899999999994,-53880.100000000006,-0.014966694444444446,1,FUSE0,6,FUSE1,7,FUSE2,7,2,2,10,4
164,571756,500510.2,502991.1,2480.899999999965,-68764.90000000002,-0.05402680788623872,2,FUSE0,9,FUSE1,9,FUSE2,8,4,4,20,3
165,301246,246138.4,248557.5,2419.100000000006,-52688.5,-0.014635694444444444,1,FUSE0,9,FUSE1,9,FUSE2,9,3,2,11,4
166,525378,469953.2,472583.5,2630.2999999999884,-52794.5,-0.014665138888888889,1,FUSE0,10,FUSE1,9,FUSE2,10,4,4,19,2
167,40411,31281.0,33690.3,2409.300000000003,-6720.699999999997,-0.0018668611111111102,1,FUSE0,8,FUSE1,8,FUSE2,9,1,1,2,2
168,433488,359636.0,361779.1,2143.0999999999767,-71708.90000000002,-0.05633983273492005,2,FUSE0,7,FUSE1,7,FUSE2,8,3,3,15,3
169,98579,83672.2,86454.7,2782.5,-12124.300000000003,-0.003367861111111112,1,FUSE0,9,FUSE1,9,FUSE2,10,1,1,4,4
