unit_seq,order_id,unit_id,variant,route_id
422,348,U8700,FUSE0,p:2.1.2.1.2.2
423,348,U8701,FUSE0,p:1.1.4.1.2.2
424,348,U8702,FUSE0,p:2.1.3.1.2.2
425,348,U8703,FUSE0,p:1.1.5.1.2.2
426,348,U8704,FUSE0,p:2.1.1.2.1.2
427,348,U8705,FUSE1,p:1.2.2.1.2.2
428,348,U8706,FUSE1,p:2.1.4.1.2.2
429,348,U8707,FUSE1,p:1.2.3.1.2.2
430,348,U8708,FUSE1,p:2.1.5.1.2.2
431,348,U8709,FUSE1,p:1.1.1.2.2.2
432,348,U8710,FUSE1,p:2.1.2.1.2.2
433,348,U8711,FUSE1,p:1.1.4.1.2.2
434,348,U8712,FUSE1,p:2.1.3.1.2.2
435,348,U8713,FUSE2,p:1.1.5.1.2.2
436,348,U8714,FUSE2,p:2.1.1.2.2.2
437,348,U8715,FUSE2,p:1.1.2.1.2.2
438,348,U8716,FUSE2,p:2.1.4.1.2.2
439,348,U8717,FUSE2,p:1.1.3.1.2.2
440,348,U8718,FUSE2,p:2.1.5.1.2.2
441,348,U8719,FUSE2,p:1.1.1.2.2.2
442,348,U8720,FUSE2,p:2.1.4.1.2.2
443,40,U982,FUSE0,p:1.1.2.1.2.2
444,40,U983,FUSE0,p:2.1.3.1.2.2
445,40,U984,FUSE0,p:1.1.5.1.2.2
446,40,U985,FUSE0,p:2.1.1.2.2.2
447,40,U986,FUSE0,p:1.1.2.1.2.2
448,40,U987,FUSE0,p:2.1.3.1.2.2
449,40,U988,FUSE0,p:1.1.4.1.2.2
450,40,U989,FUSE0,p:2.1.5.1.2.2
451,40,U990,FUSE0,p:1.1.1.2.2.2
452,40,U991,FUSE1,p:2.1.2.1.2.2
453,40,U992,FUSE1,p:1.1.3.1.2.2
454,40,U993,FUSE1,p:2.1.4.1.2.2
455,40,U994,FUSE1,p:1.1.5.1.2.2
456,40,U995,FUSE1,p:2.1.1.2.2.2
457,40,U996,FUSE1,p:1.2.2.1.2.2
458,40,U997,FUSE1,p:2.1.3.1.2.2
459,40,U998,FUSE1,p:1.1.4.1.2.2
